6	217	1	-92.01	-84.43	-184.47	-90.18	-82.63	-182.64	-91.1	-84.43	-183.56	0	0	1	1	0	1	00_T_X_DRUM_001	1.57622	0	4294967295	4294967295	3	65535	65535	255	4294967295	4294967295	4	255	255	255	255	255	255	255	255	255	1	255	255	255	255	255	255	255	255	255	2	3	255	255	255	255	255	255	255	255	3	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255											
8	21	1	273.74	-87.01	20.13	274.99	-84.17	22.49	274.3	-87.1	21.45	0	0	1	0	0	1	D3_T_JAIL_DOOR_001	1.94921	1	4294967295	4294967295	3	65535	65535	255	4294967295	4294967295	4	255	255	255	255	255	255	255	255	255	1	2	255	255	255	255	255	255	255	255	2	255	255	255	255	255	255	255	255	255	3	4	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255											
9	217	1	-57.01	-84.43	-189.88	-55.37	-82.63	-188.23	-56.19	-84.43	-189.06	0	0	1	1	0	1	00_T_X_DRUM_001	1.47073	2	4294967295	4294967295	3	65535	65535	255	4294967295	4294967295	4	255	255	255	255	255	255	255	255	255	1	255	255	255	255	255	255	255	255	255	2	3	255	255	255	255	255	255	255	255	3	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255											
10	4294967295	1	0.47	-84.63	-214	2.11	-82.83	-212.36	1.29	-84.63	-213.18	0	0	1	0	0	1	00_T_X_DRUM_001	1.46792	3	4294967295	4294967295	3	65535	65535	255	4294967295	4294967295	3	255	255	255	255	255	255	255	255	255	1	2	255	255	255	255	255	255	255	255	2	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255											
11	217	1	-11.95	-84.38	-200.57	-10.44	-82.58	-199.06	-11.2	-84.38	-199.81	0	0	1	1	0	1	00_T_X_DRUM_001	1.39644	4	4294967295	4294967295	3	65535	65535	255	4294967295	4294967295	4	255	255	255	255	255	255	255	255	255	1	255	255	255	255	255	255	255	255	255	2	3	255	255	255	255	255	255	255	255	3	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255											
12	4294967295	1	-67.34	-82.84	-118.75	-65.46	-81.04	-116.87	-66.4	-82.84	-117.81	0	0	1	0	0	1	00_T_X_DRUM_001	1.60536	5	4294967295	4294967295	3	65535	65535	255	4294967295	4294967295	3	255	255	255	255	255	255	255	255	255	1	2	255	255	255	255	255	255	255	255	2	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255											
13	4294967295	1	29.34	-84.43	-121.58	30.68	-82.63	-120.24	30.01	-84.43	-120.91	0	0	1	0	0	1	00_T_X_DRUM_001	1.30683	6	4294967295	4294967295	3	65535	65535	255	4294967295	4294967295	3	255	255	255	255	255	255	255	255	255	1	2	255	255	255	255	255	255	255	255	2	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255											
14	72	1	239.25	-84.23	-109.65	241.58	-81.39	-108.14	240.56	-84.32	-108.85	0	0	1	0	0	1	D3_T_JAIL_DOOR_001	1.98586	7	4294967295	4294967295	3	65535	65535	255	4294967295	4294967295	4	255	255	255	255	255	255	255	255	255	1	2	255	255	255	255	255	255	255	255	2	255	255	255	255	255	255	255	255	255	3	4	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255											
16	72	1	331.82	-83.95	-155.38	332.66	-81.11	-153.06	332.13	-84.04	-154.12	0	0	1	0	0	1	D3_T_JAIL_DOOR_001	1.88106	8	4294967295	4294967295	3	65535	65535	255	4294967295	4294967295	4	255	255	255	255	255	255	255	255	255	1	2	255	255	255	255	255	255	255	255	2	255	255	255	255	255	255	255	255	255	3	4	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255											
17	72	1	328.14	-83.29	-139.62	328.98	-80.45	-137.31	328.45	-83.38	-138.36	0	0	1	0	0	1	D3_T_JAIL_DOOR_001	1.87798	9	4294967295	4294967295	3	65535	65535	255	4294967295	4294967295	4	255	255	255	255	255	255	255	255	255	1	2	255	255	255	255	255	255	255	255	2	255	255	255	255	255	255	255	255	255	3	4	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255											
