1	PASSIVE_MAX_LP_UP	0	255	1	4294967295	255		255	255		255	65535	0	
2	PASSIVE_MAX_EP_UP	0	255	2	4294967295	255		255	255		255	65535	1	
3	PASSIVE_MAX_RP_DOWN	0	255	3	4294967295	255		255	255		255	65535	2	
4	PASSIVE_PHYSICAL_OFFENCE_UP	0	255	4	4294967295	255		255	255		255	65535	3	
5	PASSIVE_ENERGY_OFFENCE_UP	0	255	5	4294967295	255		255	255		255	65535	4	
6	PASSIVE_PHYSICAL_DEFENCE_UP	0	255	6	4294967295	255		255	255		255	65535	5	
7	PASSIVE_ENERGY_DEFENCE_UP	0	255	7	4294967295	255		255	255		255	65535	6	
8	PASSIVE_STR_UP	0	255	8	4294967295	255		255	255		255	65535	7	
9	PASSIVE_CON_UP	0	255	9	4294967295	255		255	255		255	65535	8	
10	PASSIVE_FOC_UP	0	255	10	4294967295	255		255	255		255	65535	9	
11	PASSIVE_DEX_UP	0	255	11	4294967295	255		255	255		255	65535	10	
12	PASSIVE_SOL_UP	0	255	12	4294967295	255		255	255		255	65535	11	
13	PASSIVE_ENG_UP	0	255	13	4294967295	255		255	255		255	65535	12	
14	PASSIVE_DASH	0	255	14	4294967295	255		255	255		255	65535	13	
15	PASSIVE_HOVERING	0	255	15	4294967295	255		255	255		255	65535	14	
16	PASSIVE_LP_REGENERATION	0	255	16	4294967295	255		255	255		255	65535	15	
17	PASSIVE_EP_REGENERATION	0	255	17	4294967295	255		255	255		255	65535	16	
18	PASSIVE_ATTACK_RATE_UP	0	255	18	4294967295	255		255	255		255	65535	17	
19	PASSIVE_DODGE_RATE_UP	0	255	19	4294967295	255		255	255		255	65535	18	
20	PASSIVE_BLOCK_RATE_UP	0	255	20	4294967295	255		255	255		255	65535	19	
21	PASSIVE_CURSE_SUCCESS_UP	0	255	21	4294967295	255		255	255		255	65535	20	
22	PASSIVE_CURSE_TOLERANCE_UP	0	255	22	4294967295	255		255	255		255	65535	21	
23	PASSIVE_PHYSICAL_CRITICAL_UP	0	255	23	4294967295	255		255	255		255	65535	22	
24	PASSIVE_ENERGY_CRITICAL_UP	0	255	24	4294967295	255		255	255		255	65535	23	
25	PASSIVE_RP_CHARGE_SPEED	0	255	25	4294967295	255		255	255		255	65535	24	
26	PASSIVE_MOVE_SPEED	0	255	26	4294967295	255		255	255		255	65535	25	
27	PASSIVE_ATTACK_SPEED_UP	0	255	27	4294967295	255		255	255		255	65535	26	
28	PASSIVE_SKILL_CASTING_TIME_DOWN	0	255	28	4294967295	255		255	255		255	65535	27	
29	PASSIVE_SKILL_COOL_TIME_DOWN	0	255	29	4294967295	255		255	255		255	65535	28	
30	PASSIVE_CHARGE	0	255	30	4294967295	255		255	255		255	65535	29	
31	PASSIVE_BLOCK_MODE	0	255	31	4294967295	255		255	255		255	65535	30	
32	PASSIVE_GUARD_COUNTERATTACK	0	0	32	4294967295	255		255	255		255	65535	31	
33	PASSIVE_DOT_VALUE_UP_ALL	0	255	33	4294967295	255		255	255		255	65535	32	
34	PASSIVE_DOT_TIME_UP_ALL	0	255	34	4294967295	255		255	255		255	65535	33	
35	PASSIVE_SKILL_EFFECT_VALUE_UP	0	255	35	4294967295	255		255	255		255	65535	34	
36	PASSIVE_SKILL_KEEP_TIME_UP	0	255	36	4294967295	255		255	255		255	65535	35	
37	PASSIVE_REQUIRE_EP_DOWN	0	255	37	4294967295	255		255	255		255	65535	36	
38	PASSIVE_CHANGE_APPLY_RANGE	0	255	38	4294967295	255		255	255		255	65535	37	
39	PASSIVE_APPLY_AREA_SIZE_UP	0	255	39	4294967295	255		255	255		255	65535	38	
40	PASSIVE_USE_RANGE_UP	0	255	40	4294967295	255		255	255		255	65535	39	
41	PASSIVE_MASTERY	0	255	41	4294967295	255		255	255		255	65535	40	
42	PASSIVE_AIR_MASTERY	0	255	42	4294967295	255		255	255		255	65535	41	
100	ACTIVE_DIRECT_DAMAGE	1	0	100	4294967295	255		255	255		255	65535	42	
101	ACTIVE_BACKSTAB	1	0	101	4294967295	255		255	255		255	65535	43	
102	ACTIVE_WARP_BACK_ATTACK	1	0	102	4294967295	255		255	255		255	65535	44	
103	ACTIVE_THROUGH_ATTACK	1	0	103	4294967295	255		255	255		255	65535	45	
104	ACTIVE_CRITICAL_ATTACK	1	0	104	4294967295	255		255	255		255	65535	46	
105	ACTIVE_EXPLOSION_BLEED	1	0	105	4294967295	255		255	255		255	65535	47	
106	ACTIVE_EXPLOSION_POISON	1	0	106	4294967295	255		255	255		255	65535	48	
107	ACTIVE_EXPLOSION_STOMACHACHE	1	0	107	4294967295	255		255	255		255	65535	49	
108	ACTIVE_EXPLOSION_BURN	1	0	108	4294967295	255		255	255		255	65535	50	
109	ACTIVE_EXPLOSION_ALL_DOT	1	0	109	4294967295	255		255	255		255	65535	51	
200	ACTIVE_BLEED	1	1	200	4294967295	255		255	255		255	65535	52	
201	ACTIVE_POISON	1	1	201	4294967295	255		255	255		255	65535	53	
202	ACTIVE_STOMACHACHE	1	1	202	4294967295	255		255	255		255	65535	54	
203	ACTIVE_BURN	1	1	203	4294967295	255		255	255		255	65535	55	
300	ACTIVE_DIRECT_HEAL	1	2	300	4294967295	255		255	255		255	65535	56	
301	ACTIVE_DIRECT_EP_HEAL	1	2	301	4294967295	255		255	255		255	65535	57	
400	ACTIVE_HEAL_OVER_TIME	1	3	400	4294967295	255		255	255		255	65535	58	
401	ACTIVE_EP_OVER_TIME	1	3	401	4294967295	255		255	255		255	65535	59	
500	ACTIVE_TELEPORT_BIND	1	4	500	4294967295	255		255	255		255	65535	60	
501	ACTIVE_INVITE	1	4	501	4294967295	255		255	255		255	65535	61	
502	ACTIVE_VISIT	1	4	502	4294967295	255		255	255		255	65535	62	
503	ACTIVE_POISON_CURE	1	4	503	4294967295	255		255	255		255	65535	63	
504	ACTIVE_STOMACHACHE_CURE	1	4	504	4294967295	255		255	255		255	65535	64	
