1211101	1	1	
1211102	1	1	
1211103	1	1	
1211104	1	1	
1211105	1	1	
1211106	1	1	
1212101	1	1	
1212102	1	1	
1212103	1	1	
1213101	1	1	
1213102	1	1	
1213103	1	1	
1411101	1	1	
1411102	1	1	
1411103	1	1	
1411104	1	1	
1411105	1	1	
1411106	1	1	
1412101	1	1	
1412102	1	1	
1412103	1	1	
1412104	1	1	
1412105	1	1	
1412106	1	1	
1412107	1	1	
1412108	1	1	
1412109	1	1	
1412110	1	1	
1412111	1	1	
1412112	1	1	
1412113	1	1	
1412114	1	1	
1412115	1	1	
1412116	1	1	
1412117	1	1	
1412118	1	1	
1412119	1	1	
1412120	1	1	
1412121	1	1	
1412122	1	1	
1412123	1	1	
1412124	1	1	
1412125	1	1	
1412126	1	1	
1412127	1	1	
1413101	1	1	
1413102	1	1	
1413103	1	1	
1413104	1	1	
1413105	1	1	
1413106	1	1	
1413107	1	1	
1413108	1	1	
1413109	1	1	
1413110	1	1	
1413111	1	1	
1413112	1	1	
1413113	1	1	
1413114	1	1	
1413115	1	1	
1413116	1	1	
1413117	1	1	
1413118	1	1	
1414104	1	1	
1414105	1	1	
1414106	1	1	
1414107	1	1	
1414108	1	1	
1414109	1	1	
1414110	1	1	
1414111	1	1	
1414112	1	1	
1414113	1	1	
1414114	1	1	
1414115	1	1	
1414116	1	1	
1414117	1	1	
1414118	1	1	
1414119	1	1	
1415101	1	1	
1415102	1	1	
1415103	1	1	
1415104	1	1	
1415105	1	1	
1415106	1	1	
1415107	1	1	
1415108	1	1	
1415109	1	1	
1415110	1	1	
1415111	1	1	
1415112	1	1	
1415113	1	1	
1415114	1	1	
1415115	1	1	
1415116	1	1	
1415117	1	1	
1415118	1	1	
1415149	1	1	
1415150	1	1	
1415151	1	1	
1415201	1	1	
1415202	1	1	
1415203	1	1	
1415204	1	1	
1415205	1	1	
1415206	1	1	
1415207	1	1	
1415208	1	1	
1415209	1	1	
1415210	1	1	
1416101	1	1	
1416102	1	1	
1416103	1	1	
1511101	1	1	
1511102	1	1	
1511103	1	1	
1511104	1	1	
1511105	1	1	
1511106	1	1	
1511107	1	1	
1511108	1	1	
1511109	1	1	
1511110	1	1	
1511111	1	1	
1511112	1	1	
1511113	1	1	
1511114	1	1	
1511115	1	1	
1511116	1	1	
1511119	1	1	
1511122	1	1	
1511123	1	1	
1511124	1	1	
1511125	1	1	
1511126	1	1	
1511127	1	1	
1511128	1	1	
1511129	1	1	
1511130	1	1	
1511131	1	1	
1511134	1	1	
1512101	1	1	
1512102	1	1	
1512103	1	1	
1512104	1	1	
1512105	1	1	
1512106	1	1	
1512107	1	1	
1512108	1	1	
1512109	1	1	
1512110	1	1	
1512111	1	1	
1512112	1	1	
1512113	1	1	
1512114	1	1	
1512115	1	1	
1512116	1	1	
1512117	1	1	
1512118	1	1	
1512119	1	1	
1512120	1	1	
1512121	1	1	
1512122	1	1	
1512123	1	1	
1512124	1	1	
1512125	1	1	
1512126	1	1	
1512127	1	1	
1512128	1	1	
1512129	1	1	
1512130	1	1	
1512131	1	1	
1512132	1	1	
1512133	1	1	
1512134	1	1	
1512135	1	1	
1512136	1	1	
1512137	1	1	
1512138	1	1	
1512139	1	1	
1513101	1	1	
1513102	1	1	
1513103	1	1	
1513104	1	1	
1513105	1	1	
1513106	1	1	
1513107	1	1	
1513108	1	1	
1513109	1	1	
1513110	1	1	
1513111	1	1	
1513112	1	1	
1513113	1	1	
1513114	1	1	
1513115	1	1	
1513116	1	1	
1513117	1	1	
