80	액체 프라늄	1	3	255	255	255	255	0	255	4294967295	3.40282e+31		616	1	0	255	4294967295	0	-1	255	4294967295	0	-1	255	4294967295	0	-1	255	
81	액체 프라늄	1	3	255	255	255	255	0	255	4294967295	3.40282e+31		616	1	0	255	4294967295	0	-1	255	4294967295	0	-1	255	4294967295	0	-1	255	
82	액체 프라늄	1	3	255	255	255	255	0	255	4294967295	3.40282e+31		616	1	0	255	4294967295	0	-1	255	4294967295	0	-1	255	4294967295	0	-1	255	
83	액체 프라늄	1	3	255	255	255	255	0	255	4294967295	3.40282e+31		616	1	0	255	4294967295	0	-1	255	4294967295	0	-1	255	4294967295	0	-1	255	
84	액체 프라늄	1	3	255	255	255	255	0	255	4294967295	3.40282e+31		616	1	0	255	4294967295	0	-1	255	4294967295	0	-1	255	4294967295	0	-1	255	
85	액체 프라늄 S1	1	3	255	255	255	255	0	255	4294967295	3.40282e+31		616	1	12	255	4294967295	0	-1	255	4294967295	0	-1	255	4294967295	0	-1	255	
86	액체 프라늄 S1	1	3	255	255	255	255	0	255	4294967295	3.40282e+31		616	1	12	255	4294967295	0	-1	255	4294967295	0	-1	255	4294967295	0	-1	255	
87	액체 프라늄 S1	1	3	255	255	255	255	0	255	4294967295	3.40282e+31		616	1	12	255	4294967295	0	-1	255	4294967295	0	-1	255	4294967295	0	-1	255	
88	액체 프라늄 S1	1	3	255	255	255	255	0	255	4294967295	3.40282e+31		616	1	12	255	4294967295	0	-1	255	4294967295	0	-1	255	4294967295	0	-1	255	
89	액체 프라늄 S1	1	3	255	255	255	255	0	255	4294967295	3.40282e+31		616	1	12	255	4294967295	0	-1	255	4294967295	0	-1	255	4294967295	0	-1	255	
90	액체 프라늄 S2	1	3	255	255	255	255	0	255	4294967295	3.40282e+31		616	1	38	255	4294967295	0	-1	255	4294967295	0	-1	255	4294967295	0	-1	255	
91	액체 프라늄 S2	1	3	255	255	255	255	0	255	4294967295	3.40282e+31		616	1	38	255	4294967295	0	-1	255	4294967295	0	-1	255	4294967295	0	-1	255	
92	액체 프라늄 S2	1	3	255	255	255	255	0	255	4294967295	3.40282e+31		616	1	38	255	4294967295	0	-1	255	4294967295	0	-1	255	4294967295	0	-1	255	
93	액체 프라늄 S2	1	3	255	255	255	255	0	255	4294967295	3.40282e+31		616	1	38	255	4294967295	0	-1	255	4294967295	0	-1	255	4294967295	0	-1	255	
94	액체 프라늄 S2	1	3	255	255	255	255	0	255	4294967295	3.40282e+31		616	1	38	255	4294967295	0	-1	255	4294967295	0	-1	255	4294967295	0	-1	255	
