11	1	1	19988	19989	20	21	27	22	24	23	25	28	29	6361101	26	0.575	0.818	19981	19982	19983	19984	19985	19986	19987	
12	2	1	19988	19989	20	21	27	22	24	23	25	28	29	6361102	26	0.34	0.94	19981	19982	19983	19984	19985	19986	19987	
13	3	1	19988	19989	20	21	27	22	24	23	25	28	29	6361103	26	-0.999	0.039	19981	19982	19983	19984	19985	19986	19987	
14	4	1	19988	19989	20	21	27	22	24	23	25	28	29	6361104	26	-0.399	0.917	19981	19982	19983	19984	19985	19986	19987	
15	5	1	19988	19989	20	21	27	22	24	23	25	28	29	6361105	26	-0.526	0.85	19981	19982	19983	19984	19985	19986	19987	
21	1	2	200008	19989	10	11	17	12	14	13	15	18	19	6361101	16	0.575	0.818	200001	200002	200003	200004	200005	200006	200007	
22	2	2	200008	19989	10	11	17	12	14	13	15	18	19	6361102	16	0.34	0.94	200001	200002	200003	200004	200005	200006	200007	
23	3	2	200008	19989	10	11	17	12	14	13	15	18	19	6361103	16	-0.999	0.039	200001	200002	200003	200004	200005	200006	200007	
24	4	2	200008	19989	10	11	17	12	14	13	15	18	19	6361104	16	-0.399	0.917	200001	200002	200003	200004	200005	200006	200007	
25	5	2	200008	19989	10	11	17	12	14	13	15	18	19	6361105	16	-0.526	0.85	200001	200002	200003	200004	200005	200006	200007	
51	1	5	200048	19989	10	11	17	12	14	13	15	18	19	6361101	16	0.575	0.818	200041	200042	200043	200044	200045	200046	200047	
52	2	5	200048	19989	10	11	17	12	14	13	15	18	19	6361102	16	0.34	0.94	200041	200042	200043	200044	200045	200046	200047	
53	3	5	200048	19989	10	11	17	12	14	13	15	18	19	6361103	16	-0.999	0.039	200041	200042	200043	200044	200045	200046	200047	
54	4	5	200048	19989	10	11	17	12	14	13	15	18	19	6361104	16	-0.399	0.917	200041	200042	200043	200044	200045	200046	200047	
55	5	5	200048	19989	10	11	17	12	14	13	15	18	19	6361105	16	-0.526	0.85	200041	200042	200043	200044	200045	200046	200047	
