1	Field 001	6	1	4294967295	0	1	0	0	0	0	0	780	780	6	260	1	90	32	45	33	45	168	60	134	10	151	10	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	
2	Field 002	11	1	4294967295	0	1	0	0	0	0	0	600	600	5	200	2	90	34	45	35	45	135	10	152	10	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	
3	Field 003	16	1	4294967295	0	1	0	0	0	0	0	780	780	6	260	3	90	36	45	37	45	169	60	136	10	153	10	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	
4	Field 004	21	1	4294967295	0	1	0	0	0	0	0	630	630	5	210	4	90	38	90	137	10	154	10	92	10	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	
5	Field 005	26	1	4294967295	0	1	0	0	0	0	0	756	756	8	270	5	90	39	45	40	45	170	60	138	10	155	10	93	5	94	5	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	
6	Field 006	30	1	4294967295	0	1	0	0	0	0	0	1026	1026	10	360	6	90	19	90	41	30	42	30	43	30	171	60	139	10	156	10	95	5	96	5	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	
7	Field 007	34	1	4294967295	0	1	0	0	0	0	0	846	846	7	300	7	90	20	90	44	90	140	0	157	0	97	0	98	10	4294967295	10	4294967295	5	4294967295	5	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	
8	Field 008	38	1	4294967295	0	1	0	0	0	0	0	1026	1026	9	360	8	90	21	90	45	45	46	45	172	60	141	10	158	10	99	5	100	5	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	
9	Field 009	42	1	4294967295	0	1	0	0	0	0	0	846	846	8	300	9	90	22	90	47	30	48	30	49	30	142	10	159	10	101	10	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	
10	Field 010	46	1	4294967295	0	1	0	0	0	0	0	1026	1026	8	360	10	90	23	90	50	90	173	60	143	10	160	10	102	5	103	5	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	4294967295	0	
