6000006	60000060	Yellow Poo Egg	1	P_EGG_D1	1	1	50	100	52685	100	0	0	52685	1	6000052	6006001	
6000013	60000130	White Underwear Egg	1	P_PAN_A1	1	1	50	100	52685	100	0	0	52685	1	6000014	6006001	
6000014	60000140	White Underwear 2	1	P_PAN_A1	2	2	50	100	52685	80	20	0	52685	1	6000015	6006001	
6000015	60000150	White Underwear 3	1	P_PAN_A1	3	3	50	100	52685	60	39	1	52685	1	6000016	6006001	
6000016	60000160	White Underwear 4	1	P_PAN_A1	4	4	50	100	52685	50	45	5	52685	1	4294967295	6006001	
6000017	60000170	Pink Underwear Egg	1	P_PAN_B1	1	1	50	100	52685	100	0	0	52685	1	6000018	6006001	
6000018	60000180	Pink Underwear 2	1	P_PAN_B1	2	2	50	100	52685	80	20	0	52685	1	6000019	6006001	
6000019	60000190	Pink Underwear 3	1	P_PAN_B1	3	3	50	100	52685	60	39	1	52685	1	6000020	6006001	
6000020	60000200	Pink Underwear 4	1	P_PAN_B1	4	4	50	100	52685	50	45	5	52685	1	4294967295	6006001	
6000043	60000430	Red Puar Egg	1	P_DAJ_B1	1	1	50	100	52685	100	0	0	52685	1	6000044	6006001	
6000044	60000440	Red Puar 2	1	P_DAJ_B1	2	2	50	100	52685	80	20	0	52685	1	6000045	6006001	
6000045	60000450	Red Puar 3	1	P_DAJ_B1	3	3	50	100	52685	60	39	1	52685	1	6000046	6006001	
6000046	60000460	Red Puar 4	1	P_DAJ_B1	4	4	50	100	52685	50	45	5	52685	1	4294967295	6006001	
6000047	60000470	Pink Poo Egg	1	P_EGG_D3	1	1	50	100	52685	100	0	0	52685	1	6000048	6006001	
6000048	60000480	Pink Poo 2	1	P_UNC_A1	2	2	50	100	52685	80	20	0	52685	1	6000049	6006001	
6000049	60000490	Pink Poo 3	1	P_UNC_A1	3	3	50	100	52685	60	39	1	52685	1	6000050	6006001	
6000050	60000540	Pink Poo 4	1	P_UNC_A1	4	4	50	100	52685	50	45	5	52685	1	4294967295	6006001	
6000051	60000510	Yellow Poo Egg	1	P_EGG_D1	1	1	50	100	52685	100	0	0	52685	1	6000052	6006001	
6000052	60000520	Yellow Poo 2	1	P_UNC_B1	2	2	50	100	52685	80	20	0	52685	1	6000053	6006001	
6000053	60000530	Yellow Poo 3	1	P_UNC_B1	3	3	50	100	52685	60	39	1	52685	1	6000054	6006001	
6000054	60000540	Yellow Poo 4	1	P_UNC_B1	4	4	50	100	52685	50	45	5	52685	1	4294967295	6006001	
6000056	60000560	재배맨 에그	1	P_EGG_B1	1	1	50	100	52685	100	0	0	52685	1	6000057	6006001	
6000057	60000570	방긋 재배맨	1	P_NIK_A1	2	2	50	100	52685	80	20	0	52685	1	6000058	6006001	
6000058	60000580	풀 자란 방긋 재배맨	1	P_NIK_A2	3	3	50	100	52685	60	39	1	52685	1	6000059	6006001	
6000059	60000590	만개한 방긋 재배맨	1	P_NIK_A3	4	4	50	100	52685	50	45	5	52685	1	4294967295	6006001	
6000060	60000600	드래곤 에그	1	P_EGG_E1	1	1	50	100	52685	100	0	0	52685	1	6000061	6006001	
6000061	60000610	나노드래곤	1	P_NAN_A1	2	2	50	100	52685	80	20	0	52685	1	6000062	6006001	
6000062	60000620	치장한 나노드래곤	1	P_NAN_A2	3	3	50	100	52685	60	39	1	52685	1	6000063	6006001	
6000063	60000630	무장한 나노드래곤	1	P_NAN_A3	4	4	50	100	52685	50	45	5	52685	1	4294967295	6006001	
6000064	60000640	메카 에그	1	P_EGG_C1	1	1	50	100	52685	100	0	0	52685	1	6000065	6006001	
6000065	60000650	정크스	1	P_JUN_A1	2	2	50	100	52685	80	20	0	52685	1	6000066	6006001	
6000066	60000660	커스텀스	1	P_JUN_B1	3	3	50	100	52685	60	39	1	52685	1	6000067	6006001	
6000067	60000670	커스텀스 프라임	1	P_JUN_A2	4	4	50	100	52685	50	45	5	52685	1	4294967295	6006001	
6000068	60000680	복실복실 에그	1	P_EGG_A1	1	1	50	100	52685	100	0	0	52685	1	6000069	6006001	
6000069	60000690	다지링	1	P_DAJ_A1	2	2	50	100	52685	80	20	0	52685	1	6000070	6006001	
6000070	60000700	모험가 다지링	1	P_DAJ_A2	3	3	50	100	52685	60	39	1	52685	1	6000071	6006001	
6000071	60000710	파일럿 다지링	1	P_DAJ_A3	4	4	50	100	52685	50	45	5	52685	1	4294967295	6006001	
6000072	60000720	Cat Pet Egg	1	P_KOG_B4	1	1	50	100	52685	100	0	0	52685	1	6000073	6006001	
6000073	60000730	Cat Pet 2	1	P_KOG_B4	2	2	50	100	52685	80	20	0	52685	1	6000074	6006001	
6000074	60000740	Cat Pet 3	1	P_KOG_B4	3	3	50	100	52685	60	39	1	52685	1	6000075	6006001	
6000075	60000750	Cat Pet 4	1	P_KOG_B4	4	4	50	100	52685	50	45	5	52685	1	4294967295	6006001	
6000076	60000760	Ghost Pet Egg	1	P_NET_A1	1	1	50	100	52685	100	0	0	52685	1	6000077	6006001	
6000077	60000770	Ghost Pet 2	1	P_NET_A1	2	2	50	100	52685	80	20	0	52685	1	6000078	6006001	
6000078	60000780	Ghost Pet 3	1	P_NET_A1	3	3	50	100	52685	60	39	1	52685	1	6000079	6006001	
6000079	60000790	Ghost Pet 4	1	P_NET_A1	4	4	50	100	52685	50	45	5	52685	1	4294967295	6006001	
