1	0	0	5	0	100	0	0	0	
2	0	1	10	0	90	5	3	0	
3	0	2	10	0	40.5	4.5	3	0	
4	0	3	10	0	32	4	3	0	
5	0	4	10	5	31.5	3.5	3	0	
6	0	5	10	5	22.5	2.5	3	0	
7	0	6	15	27	14.4	1.6	3	0	
8	0	7	15	28	12.6	1.4	2	0	
9	0	8	15	29	10.8	1.2	2	0	
10	0	9	15	30	9	1	2	0	
11	0	10	20	35	8.1	0.9	1	0	
12	0	11	20	42	5.4	0.6	0.75	0	
13	0	12	20	42	5.4	0.6	0.5	0	
14	0	13	20	42	5.4	0.6	0.25	0	
15	0	14	20	42	5.4	0.6	0.125	0	
16	0	15	30	42	5.4	0.6	0.1	0	
17	1	0	2	0	100	0	0	0	
18	1	1	5	0	90	5	3	0	
19	1	2	5	0	40.5	4.5	3	0	
20	1	3	5	0	32	4	3	0	
21	1	4	5	0	31.5	3.5	3	0	
22	1	5	10	5	22.5	2.5	3	0	
23	1	6	10	5	14.4	1.6	3	0	
24	1	7	10	7	12.6	1.4	2	0	
25	1	8	10	7	10.8	1.2	2	0	
26	1	9	10	27	9	1	2	0	
27	1	10	15	28	8.1	0.9	1	0	
28	1	11	15	29	5.4	0.6	0.75	0	
29	1	12	15	30	5.4	0.6	0.5	0	
30	1	13	15	31	5.4	0.6	0.25	0	
31	1	14	20	32	5.4	0.6	0.125	0	
32	1	15	20	33	5.4	0.6	0.1	0	
