500001	14	9	10010000	10020000	10030000	
500002	15	9	10010000	10020000	10030000	
500003	14	9	20010000	20020000	20030000	
500004	15	9	20010000	20020000	20030000	
500005	14	9	30010000	30020000	30030000	
500006	15	9	30010000	30020000	30030000	
500007	16	10	30010000	30020000	30030000	
500008	15	9	40010000	40020000	40030000	
500009	15	9	40010000	40020000	40030000	
500010	14	9	50010000	50020000	50030000	
500011	15	9	50010000	50020000	50030000	
500012	16	10	50010000	50020000	50030000	
500013	14	9	60010000	60020000	60030000	
500014	15	9	60010000	60020000	60030000	
500015	15	9	60010000	60020000	60030000	
500016	15	9	60010000	60020000	60030000	
500017	16	10	60010000	60020000	60030000	
500018	15	9	70010000	70020000	70030000	
500019	16	10	70010000	70020000	70030000	
501001	14	9	10010000	10020000	10030000	
501002	15	9	10010000	10020000	10030000	
501003	14	9	20010000	20020000	20030000	
501004	15	9	20010000	20020000	20030000	
501005	14	9	30010000	30020000	30030000	
501006	15	9	30010000	30020000	30030000	
501007	16	10	30010000	30020000	30030000	
501008	15	9	40010000	40020000	40030000	
501009	15	9	40010000	40020000	40030000	
501010	14	9	50010000	50020000	50030000	
501011	15	9	50010000	50020000	50030000	
501012	16	10	50010000	50020000	50030000	
501013	14	9	60010000	60020000	60030000	
501014	15	9	60010000	60020000	60030000	
501015	15	9	60010000	60020000	60030000	
501016	15	9	60010000	60020000	60030000	
501017	16	10	60010000	60020000	60030000	
501018	15	9	70010000	70020000	70030000	
501019	16	10	70010000	70020000	70030000	
502001	14	9	10010000	10020000	10030000	
502002	15	9	10010000	10020000	10030000	
502003	14	9	20010000	20020000	20030000	
502004	15	9	20010000	20020000	20030000	
502005	14	9	30010000	30020000	30030000	
502006	15	9	30010000	30020000	30030000	
502007	16	10	30010000	30020000	30030000	
502008	15	9	40010000	40020000	40030000	
502009	15	9	40010000	40020000	40030000	
502010	14	9	50010000	50020000	50030000	
502011	15	9	50010000	50020000	50030000	
502012	16	10	50010000	50020000	50030000	
502013	14	9	60010000	60020000	60030000	
502014	15	9	60010000	60020000	60030000	
