99	Warehouse	3	99	4294967295	19991	4294967295	255	0	19992	4294967295	255	0	19993	4294967295	255	0	19994	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0
1001	기능성	7	1001	4294967295	303006	4294967295	255	0	403040	4294967295	255	0	403041	4294967295	255	0	11130003	4294967295	255	0	11130002	4294967295	255	0	11120031	4294967295	255	0	403000	4294967295	255	0	11120032	4294967295	255	0	11140315	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0
1002	편의성	7	1002	4294967295	304018	4294967295	255	0	304022	4294967295	255	0	18111	4294967295	255	0	18115	4294967295	255	0	304014	4294967295	255	0	304015	4294967295	255	0	304008	4294967295	255	0	304010	4294967295	255	0	304011	4294967295	255	0	304013	4294967295	255	0	18180	4294967295	255	0	18183	4294967295	255	0	150031	4294967295	255	0	18169	4294967295	255	0	11120251	4294967295	255	0	11120252	4294967295	255	0	11120253	4294967295	255	0	6005011	4294967295	255	0	6005012	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0
1003	스카우트	7	1003	4294967295	11120009	4294967295	255	0	11120010	4294967295	255	0	160008	4294967295	255	0	160010	4294967295	255	0	160011	4294967295	255	0	160013	4294967295	255	0	11120013	4294967295	255	0	11120014	4294967295	255	0	160208	4294967295	255	0	160210	4294967295	255	0	160211	4294967295	255	0	160213	4294967295	255	0	11120029	4294967295	255	0	11120030	4294967295	255	0	160608	4294967295	255	0	160610	4294967295	255	0	160611	4294967295	255	0	160613	4294967295	255	0	11120025	4294967295	255	0	11120026	4294967295	255	0	160408	4294967295	255	0	160410	4294967295	255	0	160411	4294967295	255	0	160413	4294967295	255	0	11120089	4294967295	255	0	11120219	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0
1004	코스튬	7	1004	4294967295	11170002	4294967295	255	0	11170001	4294967295	255	0	11170049	4294967295	255	0	11170050	4294967295	255	0	11170208	4294967295	255	0	11170187	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0
2001	WP商店第一栏（时装）	10	2001	4294967295	11170177	4294967295	255	20	11170178	4294967295	255	20	11170179	4294967295	255	20	11170180	4294967295	255	20	11170181	4294967295	255	20	11170182	4294967295	255	20	11170183	4294967295	255	20	11170184	4294967295	255	20	11170185	4294967295	255	20	11170186	4294967295	255	20	11170187	4294967295	255	20	11170188	4294967295	255	20	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0
2002	WP商店第二栏（稀有道具）	10	2002	4294967295	11160010	4294967295	255	2	11160011	4294967295	255	2	11160012	4294967295	255	2	11160013	4294967295	255	2	403039	4294967295	255	1	18133	4294967295	255	1	18135	4294967295	255	1	18178	4294967295	255	1	18179	4294967295	255	1	18134	4294967295	255	1	18136	4294967295	255	1	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0
2003	WP商店第三栏（配方）	10	2003	4294967295	11150006	4294967295	255	10	11150007	4294967295	255	10	11150008	4294967295	255	10	11150009	4294967295	255	10	11150010	4294967295	255	10	11150011	4294967295	255	10	11150012	4294967295	255	10	11150013	4294967295	255	10	11150014	4294967295	255	10	11150015	4294967295	255	10	11150016	4294967295	255	10	11150017	4294967295	255	10	11150018	4294967295	255	10	11150019	4294967295	255	10	11150020	4294967295	255	10	11150021	4294967295	255	10	11150022	4294967295	255	10	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0
2004	WP商店第一栏（福利道具）	10	2004	4294967295	11120171	4294967295	255	10	11120172	4294967295	255	10	11120170	4294967295	255	10	4294967295	4294967295	255	1	4294967295	4294967295	255	1	4294967295	4294967295	255	1	4294967295	4294967295	255	1	4294967295	4294967295	255	1	4294967295	4294967295	255	1	4294967295	4294967295	255	1	4294967295	4294967295	255	1	4294967295	4294967295	255	1	4294967295	4294967295	255	1	4294967295	4294967295	255	1	4294967295	4294967295	255	1	4294967295	4294967295	255	1	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0
11511	너클	0	11511	4294967295	505001	4294967295	255	0	505002	4294967295	255	0	505003	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0
11512	글러브	0	11512	4294967295	500001	4294967295	255	0	501001	4294967295	255	0	502001	4294967295	255	0	500002	4294967295	255	0	501002	4294967295	255	0	502002	4294967295	255	0	500003	4294967295	255	0	501003	4294967295	255	0	502003	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0
11521	무도가용	0	11521	4294967295	522001	4294967295	255	0	522002	4294967295	255	0	522003	4294967295	255	0	522004	4294967295	255	0	522005	4294967295	255	0	522006	4294967295	255	0	522007	4294967295	255	0	522008	4294967295	255	0	522009	4294967295	255	0	522010	4294967295	255	0	522011	4294967295	255	0	522012	4294967295	255	0	522013	4294967295	255	0	522014	4294967295	255	0	522015	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0
11522	기공사용	0	11522	4294967295	523001	4294967295	255	0	523002	4294967295	255	0	523003	4294967295	255	0	523004	4294967295	255	0	523005	4294967295	255	0	523006	4294967295	255	0	523007	4294967295	255	0	523008	4294967295	255	0	523009	4294967295	255	0	523010	4294967295	255	0	523011	4294967295	255	0	523012	4294967295	255	0	523013	4294967295	255	0	523014	4294967295	255	0	523015	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0
11531	본체	0	11531	4294967295	532001	4294967295	255	0	532010	4294967295	255	0	532011	4294967295	255	0	532012	4294967295	255	0	532013	4294967295	255	0	532014	4294967295	255	0	532015	4294967295	255	0	532016	4294967295	255	0	532017	4294967295	255	0	532018	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0	4294967295	4294967295	255	0
