7001000	1	70010011	70010021	7001000	7001001	7001002	
7001003	1	70010041	70010051	7001003	7001004	7001005	
7001006	1	70010071	70010081	7001006	7001007	7001008	
7001009	1	70010101	70010111	7001009	7001010	7001011	
7001012	1	70010131	70010141	7001012	7001013	7001014	
7001015	1	70010161	70010171	7001015	7001016	7001017	
7001018	1	70010191	70010201	7001018	7001019	7001020	
7001021	1	70010221	70010231	7001021	7001022	7001023	
7001024	1	70010251	70010261	7001024	7001025	7001026	
7001027	1	70010281	70010291	7001027	7001028	7001029	
7001030	1	70010311	70010321	7001030	7001031	7001032	
7001033	1	70010341	70010351	7001033	7001034	7001035	
7001036	1	70010371	70010381	7001036	7001037	7001038	
7001039	1	70010401	70010411	7001039	7001040	7001041	
7001042	1	70010431	70010441	7001042	7001043	7001044	
7001045	1	70010461	70010471	7001045	7001046	7001047	
7001048	1	70010491	70010501	7001048	7001049	7001050	
7001051	1	70010521	70010531	7001051	7001052	7001053	
7001054	1	70010551	70010561	7001054	7001055	7001056	
7001057	1	70010581	70010591	7001057	7001058	7001059	
7001060	1	70010611	70010621	7001060	7001061	7001062	
7001063	1	70010641	70010651	7001063	7001064	7001065	
7001066	1	70010671	70010681	7001066	7001067	7001068	
7001069	1	70010701	70010711	7001069	7001070	7001071	
7001072	1	70010731	70010741	7001072	7001073	7001074	
7001075	1	70010761	70010771	7001075	7001076	7001077	
7001078	1	70010791	70010801	7001078	7001079	7001080	
7001081	1	70010821	70010831	7001081	7001082	7001083	
7001084	1	70010851	70010861	7001084	7001085	7001086	
7001087	1	70010881	70010891	7001087	7001088	7001089	
7001090	1	70010911	70010921	7001090	7001091	7001092	
7001093	1	70010941	70010951	7001093	7001094	7001095	
7001096	1	70010971	70010981	7001096	7001097	7001098	
7001099	1	70011001	70011011	7001099	7001100	7001101	
7001102	1	70011031	70011041	7001102	7001103	7001104	
7001105	1	70011061	70011071	7001105	7001106	7001107	
7001108	1	70011091	70011101	7001108	7001109	7001110	
7001111	1	70011121	70011131	7001111	7001112	7001113	
7001114	1	70011151	70011161	7001114	7001115	7001116	
7001117	1	70011181	70011191	7001117	7001118	7001119	
7001120	1	70011211	70011221	7001120	7001121	7001122	
