101	1	1	1	1	1	1	1	1.1	1	0.2	1	1	0.1	0	1	1	0	0	
102	1	1	1	1	1	1	1	1.1	1	0.2	1	1	0.1	0	1	1	0	0	
103	1	1	1	1	1	1	1	1.1	1	0.2	1	1	0.1	0	1	1	0	0	
104	1	1	1	1	1	1	1	1.1	1	0.2	1	1	0.1	0	1	1	0	0	
105	1	1	1	1	1	1	1	1.1	1	0.2	1	1	0.1	0	1	1	0	0	
201	1	1	1	1	1	1	1	0.9	1	0.2	1	1	0.1	0	1	1	0	0	
202	1	1	1	1	1	1	1	0.9	1	0.2	1	1	0.1	0	1	1	0	0	
203	1	1	1	1	1	1	1	0.9	1	0.2	1	1	0.1	0	1	1	0	0	
204	1	1	1	1	1	1	1	0.9	1	0.2	1	1	0.1	0	1	1	0	0	
205	1	1	1	1	1	1	1	0.9	1	0.2	1	1	0.1	0	1	1	0	0	
301	1	1	1	1	1	1	1	0.9	1	0.2	1	1	0.1	0	1	1	0	0	
302	1	1	1	1	1	1	1	0.9	1	0.2	1	1	0.1	0	1	1	0	0	
303	1	1	1	1	1	1	1	0.9	1	0.2	1	1	0.1	0	1	1	0	0	
1001	1	2	1.2	1.2	1	1	1.3	0.8	1.15	1.3	1.1	1	1.1	2	1	1	0	0	
1002	1	2	1.2	1.2	1	1	1.3	0.8	1.15	1.3	1.1	1	1.1	35	1	1	0	0	
1101	1.5	1	1.3	1.3	2	2	0.7	1.2	1	0.8	1.4	1	1.5	6	1	1	600	600000	
1201	1	2	1.4	1.4	1	1	0.8	1	1.1	1.2	1.2	1	1.1	35	1	1	0	0	
1301	1	1	1.2	1.2	1	1	1.2	0.8	1	1	1	1	1	2	1	1	0	0	
1302	1	1	1.25	1.25	1	1	1.2	0.8	1	1	1	1	1	2	1	1	0	0	
1303	1	1	1.3	1.3	1	1	1.2	0.75	1	1	1	1	1	2	1	1	0	0	
1311	1	1	1.2	1.2	1	1	1.2	0.8	1	1	1	1	1	35	1	1	0	0	
1312	1	1	1.25	1.25	1	1	1.2	0.8	1	1	1	1	1	35	1	1	0	0	
1313	1	1	1.3	1.3	1	1	1.2	0.75	1	1	1	1	1	35	1	1	0	0	
1321	1	1	1.2	1.2	1	1	1.2	0.8	1	1	1	1	1	35	1	1	0	0	
1322	1	1	1.25	1.25	1	1	1.2	0.8	1	1	1	1	1	35	1	1	0	0	
1323	1	1	1.3	1.3	1	1	1.2	0.75	1	1	1	1	1	35	1	1	0	0	
1401	1	1	1.2	1.2	1.1	1.1	0.6	2	1	1	1	1	1	3	1	1	0	0	
1501	1	1	1.6	1.6	1.2	1.2	0.8	1.8	1	1	1	1	1	4	1	1	0	0	
1502	1.2	2.4	1.6	1.6	1.2	1.2	1.3	0.7	1.5	1.5	1.3	1	1.5	2	1	0	1800	1800000	
1503	1.2	2.4	1.6	1.6	1.2	1.2	1.3	0.7	1.5	1.5	1.3	1	1.5	35	1	0	1800	1800000	
1504	1.8	1.2	1.9	1.9	4.8	4.8	0.7	1.2	1	1	1	1	1	6	1	0	1800	1800000	
1505	1.2	2.4	2.4	2.4	1.2	1.2	0.8	1	1.3	1.3	1.5	1	1.5	35	1	0	1800	1800000	
1601	1	1	1.4	1.4	1.3	1.3	1.3	1.6	1	1	1	1	1	4	1	1	0	0	
1602	1	1	1.5	1.5	1.3	1.3	1.3	1.6	1	1	1	1	1	4	1	1	0	0	
1603	1	1	1.6	1.6	1.3	1.3	1.3	1.6	1	1	1	1	1	4	1	1	0	0	
1604	1	1	1.7	1.7	1.3	1.3	1.3	1.6	1	1	1	1	1	4	1	1	0	0	
1605	1	1	1.8	1.8	1.3	1.3	1.3	1.6	1	1	1	1	1	4	1	1	0	0	
