1	이벤트 머신 가동 여부	1	255	4294967295	4	4294967295	65534	1	0	10160001	1	1	0	100	100	100	
2	덴덴의 스피드 축복	1	255	30	1	4294967295	0	100	2	11150001	0	1	0	1	15	255	
3	덴덴의 위력 축복	1	255	60	1	4294967295	0	100	2	11150002	0	1	0	16	30	255	
4	던전마스터_UD1 노멀	0	255	4294967295	2	8422101	0	100	0	11160001	1	1	0	22	25	255	
5	던전마스터_UD1 하드	0	255	4294967295	2	8422102	0	100	0	11160001	1	1	0	30	33	255	
6	던전마스터_UD2 노멀	0	255	4294967295	2	1881104	0	100	0	11160001	1	2	0	38	41	255	
7	던전마스터_UD2 하드	0	255	4294967295	2	1881105	0	100	0	11160001	1	2	0	54	255	255	
8	던전마스터_UD3 노멀	0	255	4294967295	2	5943101	0	100	0	11160001	1	3	0	45	47	255	
9	던전마스터_UD3 하드	0	255	4294967295	2	5943104	0	100	0	11160001	1	3	0	54	255	255	
10	던전마스터_UD4 노멀	0	255	4294967295	2	1762101	0	100	0	11140145	1	1	0	51	52	255	
11	던전마스터_UD5 노멀	0	255	4294967295	2	8821201	0	100	0	11140146	1	1	0	54	255	255	
12	던전마스터_TMQ 1-1 노멀	0	255	4294967295	2	4612106	0	100	0	11160001	1	1	0	25	28	255	
13	던전마스터_TMQ 1-1 하드	0	255	4294967295	2	4612115	0	100	0	11140144	1	1	0	25	30	255	
14	던전마스터_TMQ 1-2 노멀	0	255	4294967295	2	31753404	0	100	0	11160001	1	1	0	33	36	255	
15	던전마스터_TMQ 1-2 하드	0	255	4294967295	2	31753407	0	100	0	11140144	1	1	0	33	38	255	
16	던전마스터_TMQ 1-3 노멀	0	255	4294967295	2	5681206	0	100	0	11160001	1	1	0	41	43	255	
17	던전마스터_TMQ 1-3 하드	0	255	4294967295	2	5681212	0	100	0	11140144	1	1	0	41	45	255	
18	던전마스터_TMQ 1-4 이지	0	255	4294967295	2	5691103	0	100	0	11160001	1	1	0	47	48	255	
19	던전마스터_TMQ 1-4 노멀	0	255	4294967295	2	5691106	0	100	0	11140144	1	1	0	47	49	255	
20	던전마스터_TMQ 2-1 이지	0	255	4294967295	2	4561104	0	100	0	11140144	1	1	0	49	51	255	
21	던전마스터_TMQ 2-2 이지	0	255	4294967295	2	3431107	0	100	0	11140144	1	1	0	52	54	255	
22	국경일 이벤트 코인 [필드]	0	255	4294967295	2	4294967295	65534	5	0	11160002	0	1	0	1	55	5	
23	국경일 이벤트 코인 [인던]	0	255	4294967295	2	4294967295	61343	10	0	11160002	0	1	0	1	55	5	
24	2011 겨울방학 이벤트(필드)	0	255	4294967295	2	4294967295	65534	15	0	11160004	0	1	0	255	255	5	
25	2011 겨울방학 이벤트(던전)	0	255	4294967295	2	4294967295	61343	15	0	11160004	0	1	0	255	255	5	
26	비밀의 당근 변신술 이벤트(6월)	0	255	4294967295	2	4294967295	65534	10	0	11160019	0	1	0	1	255	5	
27	2012 추석 이벤트(필드)	0	255	4294967295	2	4294967295	65534	4	0	11160024	0	1	0	1	255	5	
28	2012 추석 이벤트(던전)	0	255	4294967295	2	4294967295	28575	2	0	11160024	0	1	0	1	255	5	
29	2012 할로윈 이벤트(Mob Spawn_F) 1~10	0	255	4294967295	2	4294967295	65534	4	1	16454203	0	1	0	1	10	5	
30	2012 할로윈 이벤트(Mob Spawn_F) 11~20	0	255	4294967295	2	4294967295	65534	4	1	16454202	0	1	0	11	20	5	
31	2012 할로윈 이벤트(Mob Spawn_F) 21~30	0	255	4294967295	2	4294967295	65534	4	1	16454201	0	1	0	21	30	5	
32	2012 할로윈 이벤트(Mob Spawn_F) 31~40	0	255	4294967295	2	4294967295	65534	4	1	16454104	0	1	0	31	40	5	
33	2012 할로윈 이벤트(Mob Spawn_F) 41~50	0	255	4294967295	2	4294967295	65534	4	1	16454103	0	1	0	41	50	5	
34	2012 할로윈 이벤트(Mob Spawn_F) 51~60	0	255	4294967295	2	4294967295	65534	4	1	16454102	0	1	0	51	60	5	
35	2012 할로윈 이벤트(Mob Spawn_F) 61~70	0	255	4294967295	2	4294967295	65534	4	1	16454101	0	1	0	61	70	5	
36	2012 할로윈 이벤트(Item Drop_F) 1~10	0	255	4294967295	2	16454203	65534	100	0	11140337	0	1	0	1	10	5	
37	2012 할로윈 이벤트(Item Drop_F) 11~20	0	255	4294967295	2	16454202	65534	100	0	11140337	0	1	0	11	20	5	
38	2012 할로윈 이벤트(Item Drop_F) 21~30	0	255	4294967295	2	16454201	65534	100	0	11140337	0	1	0	21	30	5	
39	2012 할로윈 이벤트(Item Drop_F) 31~40	0	255	4294967295	2	16454104	65534	100	0	11140337	0	1	0	31	40	5	
40	2012 할로윈 이벤트(Item Drop_F) 41~50	0	255	4294967295	2	16454103	65534	100	0	11140337	0	1	0	41	50	5	
41	2012 할로윈 이벤트(Item Drop_F) 51~60	0	255	4294967295	2	16454102	65534	100	0	11140337	0	1	0	51	60	5	
42	2012 할로윈 이벤트(Item Drop_F) 61~70	0	255	4294967295	2	16454101	65534	100	0	11140337	0	1	0	61	70	5	
43	2012 겨울방학 Event	0	255	4294967295	5	4294967295	0	100	5	80003	0	1	0	255	255	255	
44	2012 겨울방학 Event	0	255	4294967295	5	4294967295	0	100	5	80004	0	1	0	255	255	255	
45	2012 겨울방학 Event Drop 설정(30)	0	255	4294967295	2	17551201	0	100	6	11140345	0	20	1112014848	255	255	255	
46	2012 겨울방학 Event Drop 설정(30)	0	255	4294967295	2	1881301	0	100	6	11140345	0	20	1112014848	255	255	255	
47	2012 설 이벤트 몹소환1	0	255	4294967295	2	4294967295	65534	3	1	13411301	0	1	0	1	10	5	
48	2012 설 이벤트 몹소환1	0	255	4294967295	2	4294967295	65534	3	1	13411302	0	1	0	11	20	5	
49	2012 설 이벤트 몹소환1	0	255	4294967295	2	4294967295	65534	3	1	13411303	0	1	0	21	30	5	
50	2012 설 이벤트 몹소환1	0	255	4294967295	2	4294967295	65534	3	1	13411304	0	1	0	31	40	5	
51	2012 설 이벤트 몹소환1	0	255	4294967295	2	4294967295	65534	3	1	13411305	0	1	0	41	50	5	
52	2012 설 이벤트 몹소환1	0	255	4294967295	2	4294967295	65534	3	1	13411306	0	1	0	51	60	5	
53	2012 설 이벤트 몹소환1	0	255	4294967295	2	4294967295	65534	3	1	13411307	0	1	0	61	70	5	
54	2012 설 이벤트 몹소환2	0	255	4294967295	2	4294967295	65534	0.07	1	13211201	0	1	0	1	10	5	
55	2012 설 이벤트 몹소환2	0	255	4294967295	2	4294967295	65534	0.07	1	13211202	0	1	0	11	20	5	
56	2012 설 이벤트 몹소환2	0	255	4294967295	2	4294967295	65534	0.07	1	13211203	0	1	0	21	30	5	
57	2012 설 이벤트 몹소환2	0	255	4294967295	2	4294967295	65534	0.07	1	13211204	0	1	0	31	40	5	
58	2012 설 이벤트 몹소환2	0	255	4294967295	2	4294967295	65534	0.07	1	13211205	0	1	0	41	50	5	
59	2012 설 이벤트 몹소환2	0	255	4294967295	2	4294967295	65534	0.07	1	13211206	0	1	0	51	60	5	
60	2012 설 이벤트 몹소환2	0	255	4294967295	2	4294967295	65534	0.07	1	13211207	0	1	0	61	70	5	
61	2012 설 이벤트 아이템 드랍1	0	255	4294967295	2	13411301	65534	100	0	11160029	0	1	0	255	255	255	
62	2012 설 이벤트 아이템 드랍1	0	255	4294967295	2	13411302	65534	100	0	11160029	0	1	0	255	255	255	
63	2012 설 이벤트 아이템 드랍1	0	255	4294967295	2	13411303	65534	100	0	11160029	0	1	0	255	255	255	
64	2012 설 이벤트 아이템 드랍1	0	255	4294967295	2	13411304	65534	100	0	11160029	0	1	0	255	255	255	
65	2012 설 이벤트 아이템 드랍1	0	255	4294967295	2	13411305	65534	100	0	11160029	0	1	0	255	255	255	
66	2012 설 이벤트 아이템 드랍1	0	255	4294967295	2	13411306	65534	100	0	11160029	0	1	0	255	255	255	
67	2012 설 이벤트 아이템 드랍1	0	255	4294967295	2	13411307	65534	100	0	11160029	0	1	0	255	255	255	
68	2012 설 이벤트 아이템 드랍2	0	255	4294967295	2	13211201	65534	100	6	11160029	0	50	1106247680	255	255	255	
