6000001	60000010	에그 재배맨	1	15	P_EGG_B2	1	1	0	100	
6000002	60000020	드래곤 에그	1	15	P_EGG_E2	1	1	0	100	
6000003	60000030	메카 에그	1	15	P_EGG_C2	1	1	0	100	
6000004	60000040	복실복실 에그	1	15	P_EGG_A2	1	1	0	100	
6000005	60000050	리본 에그	1	15	P_EGG_F2	1	1	0	100	
6000006	60000060	미스테리 에그	1	15	P_EGG_D2	1	1	0	100	
6000007	60000070	방긋 재배맨	1	9	P_NIK_A1	1	1	0	100	
6000008	60000080	쑥쑥 재배맨	1	9	P_NIK_B1	1	1	0	100	
6000009	60000090	정크스	1	5	P_JUN_A1	1	1	0	100	
6000010	60000100	커스텀스	1	5	P_JUN_B1	1	1	0	100	
6000011	60000110	나노드래곤	1	6	P_NAN_A1	3	2	20	100	
6000012	60000120	파이어 나노드래곤	1	6	P_NAN_B1	3	2	20	100	
6000039	60000390	다지링	1	0	P_DAJ_A1	3	2	80	100	
6000043	60000430	라벤더	1	0	P_DAJ_B1	3	2	80	100	
6000047	60000470	응가군	1	15	P_UNC_A1	4	3	80	100	
6000051	60000510	황금 응가군	1	15	P_UNC_B1	4	3	80	100	
6000055	60000060	미스테리 에그(이벤트)	1	15	P_EGG_D3	1	1	0	100	
11170200	111702000	낭만 고양이 네코르	1	1	P_KOG_B4	2	2	20	100	
