10000000	111511101	Fainting1	15	10000000	5	3000		0	
10000001	111511101	Fainting2	15	10000001	5	3000		0	
10000002	111511101	Idle1	10	10000002	4	3000		1	
10000003	111511101	Idle2	10	10000003	4	3000		1	
10000004	111511101	Fighting1	15	10000004	2	2000		2	
10000005	111511101	Fighting2	15	10000005	2	2000		2	
10000006	111511104	Fainting1	15	10000006	5	3000		0	
10000007	111511104	Fainting2	15	10000007	5	3000		0	
10000008	111511104	Idle1	10	10000008	4	3000		1	
10000009	111511104	Idle2	10	10000009	4	3000		1	
10000010	111511104	Fighting1	15	10000010	2	2000		2	
10000011	111511104	Fighting2	15	10000011	2	2000		2	
10000012	111511110	Fainting1	25	10000012	5	3000		0	
10000013	111511110	Fainting2	25	10000013	5	3000		0	
10000014	111511110	Idle1	20	10000014	4	3000		1	
10000015	111511110	Idle2	20	10000015	4	3000		1	
10000016	111511110	Fighting1	30	10000016	2	2000		2	
10000017	111511110	Fighting2	25	10000017	2	2000		2	
10000018	111512101	Fainting1	15	10000018	5	3000		0	
10000019	111512101	Fainting2	15	10000019	5	3000		0	
10000020	111512101	Idle1	10	10000020	4	3000		1	
10000021	111512101	Idle2	10	10000021	4	3000		1	
10000022	111512101	Fighting1	15	10000022	2	2000		2	
10000023	111512101	Fighting2	15	10000023	2	2000		2	
10000024	111512104	Fainting1	15	10000024	5	3000		0	
10000025	111512104	Fainting2	15	10000025	5	3000		0	
10000026	111512104	Idle1	10	10000026	4	3000		1	
10000027	111512104	Idle2	10	10000027	4	3000		1	
10000028	111512104	Fighting1	15	10000028	2	2000		2	
10000029	111512104	Fighting2	15	10000029	2	2000		2	
10000030	111512110	Fainting1	15	10000030	5	3000		0	
10000031	111512110	Fainting2	15	10000031	5	3000		0	
10000032	111512110	Idle1	10	10000032	4	3000		1	
10000033	111512110	Idle2	10	10000033	4	3000		1	
10000034	111512110	Fighting1	15	10000034	2	2000		2	
10000035	111512110	Fighting2	15	10000035	2	2000		2	
10000036	111512113	Fainting1	25	10000036	5	3000		0	
10000037	111512113	Fainting2	25	10000037	5	3000		0	
10000038	111512113	Idle1	20	10000038	4	3000		1	
10000039	111512113	Idle2	20	10000039	4	3000		1	
10000040	111512113	Fighting1	30	10000040	2	2000		2	
10000041	111512113	Fighting2	25	10000041	2	2000		2	
10000042	111512116	Fainting1	30	10000042	5	3000		0	
10000043	111512116	Fainting2	30	10000043	5	3000		0	
10000044	111512116	Idle1	20	10000044	6	3000		1	
10000045	111512116	Idle2	20	10000045	6	3000		1	
10000046	111512116	Fighting1	30	10000046	2	2000		2	
10000047	111512116	Fighting2	30	10000047	2	2000		2	
10000048	111512125	Fainting1	15	10000048	5	3000		0	
10000049	111512125	Fainting2	15	10000049	5	3000		0	
10000050	111512125	Idle1	10	10000050	4	3000		1	
10000051	111512125	Idle2	10	10000051	4	3000		1	
10000052	111512125	Fighting1	15	10000052	2	2000		2	
10000053	111512125	Fighting2	15	10000053	2	2000		2	
10000054	111513110	Fainting1	25	10000054	5	3000		0	
10000055	111513110	Fainting2	25	10000055	5	3000		0	
10000056	111513110	Idle1	20	10000056	4	3000		1	
10000057	111513110	Idle2	20	10000057	4	3000		1	
10000058	111513110	Fighting1	30	10000058	2	2000		2	
10000059	111513110	Fighting2	25	10000059	2	2000		2	
10000060	111663101	Fainting1	30	10000060	5	3000		0	
10000061	111663101	Fainting2	30	10000061	5	3000		0	
10000062	111663101	Idle1	20	10000062	4	3000		1	
10000063	111663101	Idle2	20	10000063	4	3000		1	
