100000	1	1	1000000	1000001	255	4294967295	4294967295	4294967295	4294967295	4294967295	127	
110000	1	2	1100000	1100001	0	1100002	140010	4294967295	4294967295	4294967295	8	
120000	1	2	1200000	1200001	0	1200002	140020	4294967295	4294967295	4294967295	16	
130000	1	2	1300000	1300001	0	1300002	140030	4294967295	4294967295	4294967295	1	
140000	1	2	1400000	1400001	0	1400002	140040	4294967295	4294967295	4294967295	2	
150000	1	2	1500000	1500001	0	1500002	140050	4294967295	4294967295	4294967295	32	
160000	1	2	1600000	1600001	0	1600002	140060	4294967295	4294967295	4294967295	64	
200000	2	1	2000000	2000001	255	4294967295	4294967295	4294967295	4294967295	4294967295	127	
210000	2	2	2100000	2100001	2	2100002	4294967295	12902	4294967295	4294967295	127	
220000	2	2	2200000	2200001	255	4294967295	4294967295	4294967295	4294967295	4294967295	127	
221000	2	3	2210000	2210001	0	2210002	860004	4294967295	4294967295	4294967295	107	
222000	2	3	2220000	2220001	0	2220002	866004	4294967295	4294967295	4294967295	16	
223000	2	3	2230000	2230001	0	2230002	863004	4294967295	4294967295	4294967295	107	
224000	2	3	2240000	2240001	0	2240002	861004	4294967295	4294967295	4294967295	107	
225000	2	3	2250000	2250001	0	2250002	862004	4294967295	4294967295	4294967295	107	
230000	2	2	2300000	2300001	255	4294967295	4294967295	4294967295	4294967295	4294967295	127	
231000	2	3	2310000	2310001	255	4294967295	4294967295	4294967295	4294967295	4294967295	24	
231100	2	4	2311000	2311001	0	2311002	868003	4294967295	4294967295	4294967295	8192	
231200	2	4	2312000	2312001	0	2312002	869003	4294967295	4294967295	4294967295	16384	
231300	2	4	2313000	2313001	0	2313002	870003	4294967295	4294967295	4294967295	32768	
231400	2	4	2314000	2314001	0	2314002	871003	4294967295	4294967295	4294967295	65536	
232000	2	3	2320000	2320001	255	4294967295	4294967295	4294967295	4294967295	4294967295	7	
232100	2	4	2321000	2321001	0	2321002	872003	4294967295	4294967295	4294967295	128	
232200	2	4	2322000	2322001	0	2322002	873003	4294967295	4294967295	4294967295	256	
232300	2	4	2323000	2323001	0	2323002	874003	4294967295	4294967295	4294967295	1024	
232400	2	4	2324000	2324001	0	2324002	875003	4294967295	4294967295	4294967295	512	
233000	2	3	2330000	2330001	255	4294967295	4294967295	4294967295	4294967295	4294967295	96	
233100	2	4	2331000	2331001	0	2331002	878003	4294967295	4294967295	4294967295	131072	
233200	2	4	2332000	2332001	0	2332002	879003	4294967295	4294967295	4294967295	262144	
233300	2	4	2333000	2333001	0	2333002	880003	4294967295	4294967295	4294967295	524288	
233400	2	4	2334000	2334001	0	2334002	881003	4294967295	4294967295	4294967295	1048576	
240000	2	2	2400000	2400001	255	4294967295	4294967295	4294967295	4294967295	4294967295	127	
241000	2	3	2410000	2410001	255	4294967295	4294967295	4294967295	4294967295	4294967295	8	
241100	2	4	2411000	2411001	0	2411002	885010	4294967295	4294967295	4294967295	8	
241200	2	4	2412000	2412001	0	2412002	885011	4294967295	4294967295	4294967295	8	
241300	2	4	2413000	2413001	0	2413002	885012	4294967295	4294967295	4294967295	8	
242000	2	3	2420000	2420001	255	4294967295	4294967295	4294967295	4294967295	4294967295	16	
242100	2	4	2421000	2421001	0	2421002	886010	4294967295	4294967295	4294967295	16	
242200	2	4	2422000	2422001	0	2422002	886011	4294967295	4294967295	4294967295	16	
242300	2	4	2423000	2423001	0	2423002	886012	4294967295	4294967295	4294967295	16	
243000	2	3	2430000	2430001	255	4294967295	4294967295	4294967295	4294967295	4294967295	1	
243100	2	4	2431000	2431001	0	2431002	882010	4294967295	4294967295	4294967295	1	
243200	2	4	2432000	2432001	0	2432002	882011	4294967295	4294967295	4294967295	1	
243300	2	4	2433000	2433001	0	2433002	882012	4294967295	4294967295	4294967295	1	
244000	2	3	2440000	2440001	255	4294967295	4294967295	4294967295	4294967295	4294967295	2	
244100	2	4	2441000	2441001	0	2441002	883010	4294967295	4294967295	4294967295	2	
244200	2	4	2442000	2442001	0	2442002	883011	4294967295	4294967295	4294967295	2	
244300	2	4	2443000	2443001	0	2443002	883012	4294967295	4294967295	4294967295	2	
245000	2	3	2450000	2450001	255	4294967295	4294967295	4294967295	4294967295	4294967295	32	
245100	2	4	2451000	2451001	0	2451002	887010	4294967295	4294967295	4294967295	32	
245200	2	4	2452000	2452001	0	2452002	887011	4294967295	4294967295	4294967295	32	
